I       387-391,431-459
II      338-354,479-486
III     415-430,488,460-469
IV      400-404,405,413,470-478
V       80-82,85,86,97,100
VI      1,2,8-10,16,17,21-27,30,33,41-55,60,171-175,177,178,320
VII     392-399,406-412,414
VIII    355-386
IX      232,250-257,264-270,300,304-314,326,329-331,333-337
X       3-7,11-15,18-20,31,32,34-40,271-276,278-284,293,301-303,321,322,327,328
XI      28,29,56-59,61-79,106-109,161-163,179-197,200-213
XII     83,84,316-318,492-498,508-510,513,573-575
XIII    99,116-118,127-133,137,489-491,499-507,511,512,548-558
XIV     155-157,164,165,167-170,514-524,530,592
XV      87-96,101-105,110-115,119-126,138-149,154,158-160
XVI     134-136,150-153,559-572,576-591
XVII    176,198,199,214-231,233-249,258-263,277,285-292,294-299
XVIII   315,323-325,332,525-529,531-547
# 98,166,319,487 no vienen en el MGN
